season,week,franchise_name,elo,offense_points,defense_points,potential_points,composite,adjusted_all_play,actual_all_play,expected_all_play,k
2026,1,Atlanta Falcons,1341.5420868615856,62.4,82.3,231.7,108.97203522371998,2,1,9.430602881458919,2.240249197
2026,1,Baltimore Ravens,1529.7283841102362,98.2,166.8,336.6,180.34418979676002,31,31,15.243975108883232,2.240249197
2026,1,Buffalo Bills,1527.1028759947485,100.9,78.9,277.9,132.11730225780002,11,8,17.34493252995528,2.240249197
2026,1,Carolina Panthers,1519.5375502014526,126.8,84.6,292,147.09188605228,24,19,15.518589437774683,2.240249197
2026,1,Chicago Bears,1629.9711136027704,114.8,112.1,322.8,160.93576233849998,28,26,20.4170437710594,2.240249197
2026,1,Cincinnati Bengals,1448.6269009269006,128.9,79.7,280.40000000000003,143.22316683890003,20,16,12.461282454864097,2.240249197
2026,1,Cleveland Browns,1468.310187150316,98.2,96.4,242.2,130.16840293180002,10,12,14.526420035442062,2.240249197
2026,1,Dallas Cowboys,1538.0864194639944,105.3,104,289,146.48858002108,21,17,16.77964965832575,2.240249197
2026,1,Denver Broncos,1432.8984988131176,119.1,97.5,242.1,138.2168970546,14,22,12.351579450150885,2.240249197
2026,1,Detroit Lions,1425.622923998881,95.9,91.1,205.3,118.78597080276,6,10,12.86496396102445,2.240249197
2026,1,Green Bay Packers,1453.4451293071065,81.8,93.3,286.40000000000003,132.95999818554,12,6,13.567988819099854,2.240249197
2026,1,Houston Texans,1546.5206533296728,113.5,108.7,237,139.5881549321,15,25,17.858247501618077,2.240249197
2026,1,Indianapolis Colts,1556.342249589038,101.2,103.60000000000001,281.5,143.12675008762,19,14.5,17.900272526673806,2.240249197
2026,1,Jacksonville Jaguars,1517.0951440864135,138.1,66.7,257.1,135.9802783232,13,14.5,16.627051813908817,2.240249197
2026,1,Kansas City Chiefs,1499.688523158008,108.2,104.2,301.8,150.53479086864002,25,20,14.415627426734014,2.240249197
2026,1,Las Vegas Raiders,1581.3934397771102,100.1,153.6,288.7,164.77057718914,29,30,18.029382619566565,2.240249197
2026,1,Los Angeles Chargers,1437.6640469601373,38.6,87.8,225,101.01569963656,0,0,14.116615723917041,2.240249197
2026,1,Los Angeles Rams,1523.8698890019466,110.5,131.3,313.4,165.07014893926,30,29,15.063101887612685,2.240249197
2026,1,Miami Dolphins,1609.1369952595135,96.9,139.5,280.9,156.0765485282,27,28,19.566034045759036,2.240249197
2026,1,Minnesota Vikings,1464.620979708553,46.3,134.2,223.5,122.42354514517999,7,9,14.6775111958435,2.240249197
2026,1,New England Patriots,1502.3672607350006,96.5,106.7,269.7,139.99823733988,16,13,15.5561878846638,2.240249197
2026,1,New Orleans Saints,1489.7064313830435,90,87.5,239.8,122.99987570601999,8,7,15.819300031627936,2.240249197
2026,1,New York Giants,1573.1268728445093,109.1,109.39999999999999,257,142.81132659175998,18,23.5,18.81890539585838,2.240249197
2026,1,New York Jets,1453.091036052253,77.3,78.2,198.2,105.12440268655999,1,2,14.772868209958714,2.240249197
2026,1,Philadelphia Eagles,1564.3466974470653,92.4,120.3,282.90000000000003,147.05224060860002,23,21,17.853559834993124,2.240249197
2026,1,Pittsburgh Steelers,1392.0906052713121,66.1,102.9,209.5,113.68853397996,3,5,11.586253151857655,2.240249197
2026,1,San Francisco 49ers,1535.326291809469,68.4,141.9,262.5,142.48359092484,17,18,17.087145747353677,2.240249197
2026,1,Seattle Seahawks,1407.886193565114,114.8,52.6,233.6,116.39026728892,4,4,12.226795688428956,2.240249197
2026,1,Tampa Bay Buccaneers,1524.575970711697,103.9,125.9,253.5,146.85527480904,22,27,15.994549030655513,2.240249197
2026,1,Tennessee Titans,1487.4720580913072,83.8,83.5,235.7,118.17482957676,5,3,16.04352986347381,2.240249197
2026,1,Washington Commanders,1527.122715326474,115.3,103.2,300.3,152.37529205290002,26,23.5,15.673872282845874,2.240249197
2026,2,Arizona Cardinals,1491.612544644699,92.9,90.1,273.3,132.72683756016,15,13,15.120850841817964,0.5902384748
2026,2,Atlanta Falcons,1343.4069081278344,57.800000000000004,129.4,250.7,130.83549080806,12,14,8.840563016701513,0.5902384748
2026,2,Baltimore Ravens,1532.7879924029255,76.3,118.4,289.3,141.85850262230002,22,16,16.81631844869808,0.5902384748
2026,2,Buffalo Bills,1520.1972065376822,69,76.9,254.4,114.33006897586,5,3,16.699795509613665,0.5902384748
2026,2,Carolina Panthers,1523.4547285238561,117.8,96.6,280.2,146.02812289256,23,23,16.363397186652847,0.5902384748
2026,2,Chicago Bears,1634.656606528626,131.79999999999998,116.1,301.4,163.90836282133998,29,29,21.06169518609682,0.5902384748
2026,2,Cincinnati Bengals,1442.597918355156,31.4,121,219.3,110.64750585906,3,5,13.214485888584944,0.5902384748
2026,2,Cleveland Browns,1472.3939360111822,58.5,149.7,256,140.5808311157,21,20,14.081188307404153,0.5902384748
2026,2,Dallas Cowboys,1533.2545463284605,86.7,83.4,249.4,122.30297613368,9,9,17.1863066232191,0.5902384748
2026,2,Denver Broncos,1431.4044779166852,76.2,106.5,225.9,122.56601828507999,10,12,12.53121570385382,0.5902384748
2026,2,Detroit Lions,1427.854809704604,130,78.6,241.8,134.40905528992,16,22,12.218671264222362,0.5902384748
2026,2,Green Bay Packers,1453.1939220198103,40.800000000000004,120.3,297.2,131.48142890686,13,6,13.425603036774627,0.5902384748
2026,2,Houston Texans,1551.5035043784305,145.4,93.6,289,156.86772377884,26,26,17.557901998092866,0.5902384748
2026,2,Indianapolis Colts,1556.3494060432045,59.8,138.8,255.29999999999998,136.4466203607,18,18,17.987875317397894,0.5902384748
2026,2,Jacksonville Jaguars,1515.7643778257723,120.6,75.1,250.4,131.50531069502,14,17,16.254624727898506,0.5902384748
2026,2,Kansas City Chiefs,1497.0453801194856,43.4,107.2,282.7,123.78924017162,11,4,15.47809343404466,0.5902384748
2026,2,Las Vegas Raiders,1584.8951518251479,128.2,104.2,291.1,155.39872464645998,25,25,19.06729280190663,0.5902384748
2026,2,Los Angeles Chargers,1434.2777287447511,92.7,74.8,227.4,115.98435650788001,7,8,12.737203452441118,0.5902384748
2026,2,Los Angeles Rams,1525.9025844495252,99.8,108.5,262,140.18778439698,20,21,16.5561454660046,0.5902384748
2026,2,Miami Dolphins,1613.7261457885616,148.5,92,303.9,160.72904113346,28,27.5,20.224921408921688,0.5902384748
2026,2,Minnesota Vikings,1466.4401204550359,117.7,75.9,270.8,135.40719113414002,17,15,13.917956344511154,0.5902384748
2026,2,New England Patriots,1496.7023461178821,61.6,104.5,217.2,114.44921824034,6,7,15.597670871994485,0.5902384748
2026,2,New Orleans Saints,1485.5554934698548,99.9,74.7,220.3,116.95691511776,8,10,15.032645431315286,0.5902384748
2026,2,New York Giants,1563.2615011484074,65.1,79.8,215.2,105.18899122843999,2,2,18.714213182128894,0.5902384748
2026,2,New York Jets,1463.4732939680423,189.1,73.2,301.8,167.38476022708,31,31,13.410062442460445,0.5902384748
2026,2,Philadelphia Eagles,1564.7387814105646,96.5,105.4,266.9,138.83168685586,19,19,18.33571940793564,0.5902384748
2026,2,Pittsburgh Steelers,1388.0685673788144,83.60000000000001,96.2,195.4,114.13364671392,4,11,10.81425909054921,0.5902384748
2026,2,San Francisco 49ers,1541.190726019019,120.7,119.8,297.2,160.41670086419998,27,27.5,17.064296958043965,0.5902384748
2026,2,Seattle Seahawks,1415.2831788163962,72.7,157.7,282.1,154.95256388456,24,24,11.467802308568988,0.5902384748
2026,2,Tampa Bay Buccaneers,1514.7853704221038,41.6,75.7,153.2,80.86445559394,0,0,16.587533188023265,0.5902384748
2026,2,Tennessee Titans,1479.2482567571808,49,89.1,202.4,100.20663579926,1,1,14.933014680063165,0.5902384748
2026,2,Washington Commanders,1534.972487760298,147.8,110.1,286.5,163.91048206568001,30,30,16.700676474057648,0.5902384748
