season,week,franchise_name,offense_points,defense_points,potential_points,composite,adjusted_all_play,actual_all_play,expected_all_play,k,elo
2026,2,Dallas Cowboys,86.7,83.4,249.4,122.30297613368,9,9,17.1863066232191,0.5902384748,1533.25454603122
2026,2,Denver Broncos,76.2,106.5,225.9,122.56601828508,10,12,12.53121570385382,0.5902384748,1431.40447753203
2026,2,Detroit Lions,130,78.6,241.8,134.40905528992,16,22,12.218671264222362,0.5902384748,1427.85480999546
2026,2,Green Bay Packers,40.8,120.3,297.2,131.48142890686,13,6,13.425603036774628,0.5902384748,1453.19392196755
2026,2,Houston Texans,145.4,93.6,289,156.86772377884,26,26,17.557901998092866,0.5902384748,1551.50350462718
2026,2,Indianapolis Colts,59.8,138.8,255.3,136.4466203607,18,18,17.987875317397894,0.5902384748,1556.34940634247
2026,2,Jacksonville Jaguars,120.6,75.1,250.4,131.50531069502,14,17,16.254624727898506,0.5902384748,1515.76437764375
2026,2,Kansas City Chiefs,43.4,107.2,282.7,123.78924017162,11,4,15.47809343404466,0.5902384748,1497.04538012108
2026,2,Las Vegas Raiders,128.2,104.2,291.1,155.39872464645998,25,25,19.06729280190663,0.5902384748,1584.89515200225
2026,2,Los Angeles Chargers,92.7,74.8,227.4,115.98435650788,7,8,12.737203452441118,0.5902384748,1434.27772864962
2026,2,Los Angeles Rams,99.8,108.5,262,140.18778439698,20,21,16.5561454660046,0.5902384748,1525.90258412915
2026,2,Miami Dolphins,148.5,92,303.9,160.72904113346,28,27.5,20.224921408921688,0.5902384748,1613.72614589415
2026,2,Minnesota Vikings,117.7,75.9,270.8,135.40719113414002,17,15,13.917956344511154,0.5902384748,1466.44012061351
2026,2,New England Patriots,61.6,104.5,217.2,114.44921824034,6,7,15.597670871994485,0.5902384748,1496.70234579178
2026,2,New Orleans Saints,99.9,74.7,220.3,116.95691511776,8,10,15.032645431315286,0.5902384748,1485.55549366345
2026,2,New York Giants,65.1,79.8,215.2,105.18899122844,2,2,18.714213182128898,0.5902384748,1563.26150123094
2026,2,New York Jets,189.1,73.2,301.8,167.38476022708,31,31,13.410062442460443,0.5902384748,1463.47329396311
2026,2,Philadelphia Eagles,96.5,105.4,266.9,138.83168685586,19,19,18.33571940793564,0.5902384748,1564.7387817738
2026,2,Pittsburgh Steelers,83.60000000000001,96.2,195.4,114.13364671392,4,11,10.81425909054921,0.5902384748,1388.06856746863
2026,2,San Francisco 49ers,120.7,119.8,297.2,160.41670086419998,27,27.5,17.064296958043965,0.5902384748,1541.19072584664
2026,2,Seattle Seahawks,72.7,157.7,282.1,154.95256388456,24,24,11.467802308568988,0.5902384748,1415.2831790865
2026,2,Tampa Bay Buccaneers,41.6,75.7,153.2,80.86445559394,0,0,16.587533188023265,0.5902384748,1514.78537057696
2026,2,Tennessee Titans,49,89.1,202.4,100.20663579926,1,1,14.933014680063163,0.5902384748,1479.248257128
2026,2,Washington Commanders,147.8,110.1,286.5,163.91048206568,30,30,16.700676474057648,0.5902384748,1534.97248743273
